,Unnamed: 0,Sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters,img
67,67,67,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2.0,4.7,0,No,,Religious,No,0.59,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",68.9742446,22.2471009,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQupaUuC8G8PrTN6TofhlUO4FAjRHgVwuB3sjNUW4fYJ0aZYf7k4IzCuQCKuA&s
68,68,68,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3.0,4.5,3500,No,,Wildlife,Yes,0.08,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch.",70.4642754,21.5174104,21.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJSGM4RhNsH_o_5SlB5N3p4Op4r_J-JzXHrx4PcrLixGSXXCP4IhfThosBn9U&s
69,69,69,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,,Nature,Yes,0.12,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",69.668339,23.2472446,4.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9TIyAGlKQUJHKh-IizphVHeNfYOotnuhjdSn2r8fySddmwZJuJUL-5Kgj0w&s
70,70,70,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2.0,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,"Home to the Gir National Park, temples, and the Rann of Kutch.",73.1942567,22.2973142,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRswzmKdM7Vcyf5zKk2GfI1yyYdOw0WaIw-YcK7vwAXnP0k7Gh4q4XA-fY0VQ&s
71,71,71,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2.0,4.8,0,No,,Religious,No,0.39,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch.",70.4025266,20.8907001,7.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3cAAjMqu95A9rTMrlOHbPUGNig3B640T2yaEgLa3gB8WMCULFD5xYutazAw&s
72,72,72,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3.0,4.9,7500,Yes,,Cultural,Yes,0.1,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",70.49661369,23.79055185,24.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtUxT3hI-uVcS9j_AccFgyIPFs_g121TlTjVhmXOh96mWhxRN-jxsB4h_4ieg&s
73,73,73,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3.0,4.6,350,No,Monday,Historical,Yes,0.67,All,"Home to the Gir National Park, temples, and the Rann of Kutch.",73.1472445,21.2947722,21.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg0lTd9YnDGqJtxoMOuLk7bAW8io8Vs6Aaos-gRnZ8h5ZjXo6MJwn65o5wtno&s
74,74,74,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,,Historical,Yes,0.05,All,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.6492267,23.2232877,4.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3Biehe-y0Q_UV12QhDH6-iX0YaKro0lXsyIMu_1b0GuZJGzH_LfbBnS0UbW4&s
75,75,75,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1.0,4.6,0,Yes,,Recreational,Yes,0.1,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.5800568,23.0215374,4.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjR4mtOopTrqFl0WeEKrvnIwWycYX46vMxoTDD8sgzcNGuj3C-_9WYzYqhRmo&s
76,76,76,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2.0,4.4,0,Yes,,Food,Yes,0.49,Night,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.5800568,23.0215374,4.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFObDnH3kC9TDcnmYbzxMVxEFFA8fzJZeqp_915r3xs8f5OwYok36LlNItFg&s
77,77,77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3.0,4.5,10,Yes,,Recreational,Yes,0.3,Afternoon,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.5800568,23.0215374,4.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFSNP4A1bf0rlUh-cKHWXBt8AH-zGVRmqzTLb-w4SfCnjwFDzKvgWWncyzDEQ&s
78,78,78,Western,Gujarat,Ahmedabad,Science City,Science,2002,7.0,4.4,500,Yes,Monday,Educational,Yes,0.11,All,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.5800568,23.0215374,4.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeI7dWvlMXUyedZIgS1JpXiufYAcwSeGkLIgqdDdCUrEqhTYRjby60rHTViIQ&s
79,79,79,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1.0,4.4,50,Yes,,Architectural,Yes,1.3,Morning,"Desert state famous for its palaces, forts, and rich culture.",75.8189817,26.9154576,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-Ma5kzVXNlwJpgqJqdmMrcvkJ4Nf5FrtfNH7O3C_JcrMpiEd3hLvpTNsiGi0&s
80,80,80,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2.0,4.4,300,Yes,,Historical,Yes,0.51,All,"Desert state famous for its palaces, forts, and rich culture.",73.6862571,24.578721,11.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMpxb2q_intayQv3WBcl9eqp3yOzGBBvFfIXXe8uXJq0ggoB4iJpjPo3yzhQ&s
81,81,81,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,,Historical,Yes,0.56,All,"Desert state famous for its palaces, forts, and rich culture.",70.77751198,27.0264162,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCIQLqtowmD0GHIJx5JMoRUmBky4sc1lmafLOxGkwLn3a73jBUJ_qNmGgS1Q&s
82,82,82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3.0,4.6,500,No,,Wildlife,Yes,0.09,All,"Desert state famous for its palaces, forts, and rich culture.",76.42406373,26.1137182,17.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4NXM23mVlPHvN2GK0hiKBlGH8c1rYLhkQNqhs4hLSp7o0rmIGAc0f7tmJ2yw&s
83,83,83,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,,Religious,Yes,1.6,All,"Desert state famous for its palaces, forts, and rich culture.",74.5578484,26.4876472,17.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1oI_3i0zxaKSJp748vXd5cZZngm-3ZRPmmkPwXdunDArtfEc-nc2bBjZ_LQ&s
84,84,84,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1.0,4.6,0,Yes,,Religious,No,0.35,All,"Desert state famous for its palaces, forts, and rich culture.",74.639,26.4691,17.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTk1Y3TbfUmwGofrV6wsQGu1akFIWDAWeht6O3W31qMEgd1jRio3W-ipUiPNQ&s
85,85,85,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2.0,4.6,100,Yes,,Historical,Yes,0.64,All,"Desert state famous for its palaces, forts, and rich culture.",73.0351433,26.2967719,17.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSo5JhCiuF98mZku96YtH2zpOepRR0aLGGYVNpWZ0eMaJg1lRb7t6lro-p9aw&s
86,86,86,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2.0,4.6,40,No,,Historical,Yes,1.9,All,"Desert state famous for its palaces, forts, and rich culture.",74.47181294,24.7171578,11.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMmJXyaQyTZ5bt9r-iKi3dL5XTGWi-NPK1feF2QPlg1HxQS4GGP0zV29dS2Q&s
87,87,87,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1.0,4.6,0,No,,Religious,No,0.05,All,"Desert state famous for its palaces, forts, and rich culture.",72.7081876,24.592433,11.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaKKaQuNxNi4XTTMwibjrRn1QtDWyVYI4DrLsdsFKxbDYUpNcdQ7HoRenF8Q&s
88,88,88,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2.0,4.5,50,Yes,,Historical,Yes,0.32,All,"Desert state famous for its palaces, forts, and rich culture.",73.3171367,28.0159286,3.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkvCFYiFQViZ_l-95Z83koW391SE8QpuvxoHAolunczLKsCCpIywkRP_5LdSA&s
89,89,89,Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2.0,4.6,100,Yes,,Historical,Yes,1.5,All,"Desert state famous for its palaces, forts, and rich culture.",75.8189817,26.9154576,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMoJQzLAGprT1vhE9zCLeVfBPZAHvVZJqvxEuoKnKBbxCyHO7pV65k9IcO9A4&s
90,90,90,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,,Historical,Yes,0.3,All,"Desert state famous for its palaces, forts, and rich culture.",75.8189817,26.9154576,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSK5X1EDTYkIhv8CRGF4MMLEv6zy_CjNnlNvl52mOpD5Wnp5LF0Ya14b7ppEA&s
91,91,91,Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1.0,4.6,0,Yes,,Nature,Yes,0.5,All,"Desert state famous for its palaces, forts, and rich culture.",73.6862571,24.578721,11.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmTrhHKr-iIJ9eipFzek3es6_gvi6HvyfSdgcmqo9d5DkCdENz9ZdGnNrAoUc&s
92,92,92,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,,Spiritual,Yes,1.9,All,"Land of five rivers, known for its cuisine and festivals.",74.8736788,31.6343083,23.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRY7UPHRl6rjo6R1TVo8ViH-mSZprLEEcBkEym2i4p8G-Dbu02HUna58WEZSNA&s
93,93,93,Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1.0,4.8,0,Yes,,Historical,Yes,0.3,Afternoon,"Land of five rivers, known for its cuisine and festivals.",74.8736788,31.6343083,23.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDA-lwA67v6iY4J9GkzMvQ8F3NRrNybqZYRAdV1fd7CLXvYioBEsf9GN7hQSw&s
94,94,94,Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2.0,4.8,0,Yes,,Cultural,Yes,0.17,Evening,"Land of five rivers, known for its cuisine and festivals.",74.8736788,31.6343083,23.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZFexK3Z9nfD_bz4T23elKW30cNo9KA_jCn3LaXEP2Ho9V9CnatKgFvpsXXg&s
95,95,95,Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2.0,4.5,30,Yes,,Artistic,Yes,0.5,All,"Land of five rivers, known for its cuisine and festivals.",76.7797143,30.7334421,9.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRt1QKm-ZNnBSNKyXADbWui_E_0oeu8HKQbHPkchBqZqCdXwePf86ZwjsdtIg&s
96,96,96,Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.11,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.41241429,9.5006651,5.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqOnoB2dHpzzouHhz_r3qGQ5lihMzQ7uP4orTpGDa5SeJ_uAB8ivkHlP47vA&s
97,97,97,Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2.0,4.3,0,No,,Nature,Yes,0.3,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",77.0600915,10.0869959,5.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzX1vJm556uCe-oThDtua8p8Xd7yXe3xnDGdFi_KP-TIhdkRv6U8Jgsfsitg&s
98,98,98,Southern,Kerala,Kochi,Fort Kochi,Site,1503,1.0,4.4,0,Yes,,Historical,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.2454436,9.9674277,5.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTe5br3DE5tlqqNoHYpMOsvGzVCGK3Avv82ULu2DuE0FTjnIx8HmwlFO9VPxdo&s
99,99,99,Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.46,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.947551,8.4882267,13.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmXoGtMw6b_IfywfHLwt4r1PDiPfCwh_4Zja16kDmPfKPtYk6qUAzegqfOmQ&s
100,100,100,Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,0,Yes,,Recreational,Yes,0.059,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",75.7754716,11.2450558,14.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQv_U-TKL1Ugo9b8cqUcfnOUftU96bLgG-kdG7Q5W34MZ_RNMZwVTIqJgfYw&s
101,101,101,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3.0,4.5,300,No,,Wildlife,Yes,2.2,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.12711851,11.71512915,2.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFLMypee15Gm-jgeQ8siolC_tka4qvd424QrjFTIQdmuS4m2o2Id2-HCTzVw&s
102,102,102,Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3.0,4.3,50,No,,Wildlife,Yes,0.14,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",77.181142,9.5804995,5.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOGLq2YzjP-3NSNSVf2mIBYZcw9hu-9GSVGxgHBp45rL5f5iGzaY3Gg0p73A&s
103,103,103,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2.0,3.8,50,Yes,,Wildlife,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.4302599,9.5949953,5.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1AtCkYyws6dq_Z8GMuL_vYdCFbb0TRGmP0KD2m0iJqwrAFq-0d30WBRB2cw&s
104,104,104,Southern,Kerala,Varkala,Varkala Beach,Beach,Unknown,2.0,4.6,0,Yes,,Recreational,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.7257086,8.7342288,13.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTI6ZMzW9TSkTnqz_2iZ7soc4lUnUnXfIVLSzPBK0IBcpBwqDc3XOd1Z3dSavI&s
105,105,105,Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,No,,Historical,Yes,0.22,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",75.0371916,12.395725,2.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFYoE137oQqCNTxWM3FjWdkcoqB-IC8f4rlgVLa1TD6NH5CB-QxlBF7i2aVXY&s
106,106,106,Southern,Kerala,Kovalam,Kovalam Beach,Beach,Unknown,2.0,4.4,0,Yes,,Recreational,Yes,0.68,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.9785152,8.3902593,13.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZuC1oWLOzUWT8xMHi1XuZ5aZQ7Dfodbv5Gwm0K6Bh0jn1EnbmlrEqNRk_hYY&s
107,107,107,Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1.0,4.4,20,Yes,,Historical,Yes,0.11,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",75.3737973,11.8763836,2.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpufQPruh6HJnrn3J60e5ASoi97UOIpnxyqaY_erepcRYKYJLqwNo1ImfM9A&s
108,108,108,Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,Unknown,1.0,4.5,0,No,,Nature,Yes,0.03,Morning,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.6932494,10.5349244,14.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx9YYEWMJI-irfaTHjiO0wLhe6SLjX7IiFug1BjYUD2rF3M_XbGZSftlPJew&s
109,109,109,Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Monday,Cultural,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.2454436,9.9674277,5.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsjHGSKSqzxgy3CE1RRtf_yONILXCqJSPZsf3XmOf4XvHonbah6U8tRvUYFs0&s
110,110,110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,,Entertainment,Yes,0.41,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.2454436,9.9674277,5.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFWGL8EOIo12Rb-INo1mOaUOageRswv21n1A_JDuSTLba1hv7s5GZQl4xNGQ&s
111,111,111,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2.0,4.6,50,Yes,,Historical,Yes,2.5,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",76.6553609,12.3051828,2.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3MuJfrj2RSahckKoCDdJerY_yiRZW7AviNXOModFBetaDOVbAmdAH4wDQ5w&s
112,112,112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3.0,4.7,0,No,,Historical,Yes,0.05,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",76.4610201,15.3358,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwLTCq3bvoSCHodB5eWBYysnT2W84To6Q-sjhGR7tPToYIcWcrFD9viDKyVg&s
113,113,113,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1.0,4.1,0,No,,Nature,Yes,0.03,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.6151183,12.9363343,18.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTo2Cw8tVXeSNqUq1mgH3XpCGJGuB8dQj3jPn694xxjLhLBAGKgnCjFYke4boU&s
114,114,114,Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2.0,4.5,0,No,,Nature,Yes,0.09,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",74.3184418,14.5439629,19.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9SBpiwn30b-aqufCCHAp_xPs3njDfybuRs_3bfLyO-OUHImtB0-2wVTPk0w&s
115,115,115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3.0,4.5,0,No,,Nature,Yes,0.05,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7738743,13.318014,18.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmQOyEPdd2Of0BSax41N4uqzsaqkbOFhOXnuDREKWEDrqScbACV6TbIY36ew&s
116,116,116,Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,No,,Religious,No,0.2,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.6807865,15.9203874,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx95bwrSRijv7USlXIoYJaGJrxAkFwnOeRozZS1G5bvZhY355os-PrrlOz6w&s
117,117,117,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,No,,Nature,Yes,0.23,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.23805528,14.05565025,19.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnoBuFNJG6C7KOmEzuobPRQTmyd6q34QRlmqiechwv7xtB_-hKVuvgL7q47A&s
118,118,118,Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.1,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",74.8430082,12.8698101,18.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTExL2Zsm39M4Ntajlajj1ZsfyiHSI-7-fFYvAhbJ6oAxyc4pao6dF8_qrI1g&s
119,119,119,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.49,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.11971136,15.3410864,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEs8Zk71fAYsnVtPeAKOXaZIzaE2wM3mNn9m6GymaM_Zp4iMwCBPyhr4YQikY&s
120,120,120,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,No,,Historical,Yes,0.25,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7175387,16.8269911,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrLzXsvR256977_H9KGmdWKMr4eaiPN1pi-OH-VraSH8U7Ll9Awj-dbvz6EQ&s
121,121,121,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3.0,4.4,300,No,,Wildlife,Yes,0.15,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.47741148,24.22548715,11.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdqGJbhrPwwNuF0OHrjZDRKSFO0hCorQ8IoIxz1jwAxzkwK5XID2Nggq4VV-w&s
122,122,122,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1.0,4.7,15,No,,Religious,No,0.11,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",76.4607075,12.359893,2.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLMg9eUmFOykzxs34o33_9u9gOtVQjXDrtUdcql_t9Y3SUJbwx45X_6SdvZ3c&s
123,123,123,Western,Maharashtra,Pune,Shaniwar Wada,Fort,1732,2.0,4.4,50,Yes,,Historical,Yes,1.2,All,"Home to Mumbai, the financial capital, and historical sites.",73.8545071,18.5213738,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvflP6eMobES73oJ0rldtOruDtyJfgKN8kOWDpgyA9eS10Cbr8xApyVxFI6A&s
124,124,124,Western,Maharashtra,Aurangabad,Ajanta Caves,Cave,200,3.0,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",84.5,24.75,11.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbgvp0GgWjdezeSo0gkLNl38WrKC3ZMOD3021y_AkctkwxS2lDwf8_8yB87Q&s
125,125,125,Western,Maharashtra,Nashik,Sula Vineyards,Vineyard,1999,2.0,4.1,300,Yes,,Recreational,Yes,0.1,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",73.7902364,20.0112475,22.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTuwG3wdcEsl6UnJH5lWerZR6CkPgXtKqc3VRlJzCvWQ54wqt5yZHHgDxhZ9s&s
126,126,126,Western,Maharashtra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,,Religious,No,0.69,All,"Home to Mumbai, the financial capital, and historical sites.",74.4754386,19.7668121,22.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFJivgSaCdsFhkpVlMN_vcCUaPyPuKJRmi1gxVOBek2ucSx28dxqVNiCVgvwE&s
127,127,127,Western,Maharashtra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,,Recreational,Yes,0.05,Evening,"Home to Mumbai, the financial capital, and historical sites.",72.8787677,18.6627281,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJztrgu8GaakA4edC-CTstB2J3bcrIhKwUnZyrzvubHJdipSOMTEVjTjsSPmM&s
128,128,128,Western,Maharashtra,Ratnagiri,Ganapatipule Temple,Temple,1600,1.0,4.7,0,No,,Religious,No,0.1,All,"Home to Mumbai, the financial capital, and historical sites.",73.4569787,17.2826079,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzqNcOlPytBolA9bYNCaHepTiXGmD_aDOrvvaYdFWCI4-DXzhxYvyMY8_Oo9c&s
129,129,129,Western,Maharashtra,Nagpur,Deekshabhoomi,Monument,2001,1.0,4.5,0,Yes,,Religious,Yes,0.11,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",79.0820556,21.1498134,21.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg-JU7LQmpJR8XbD7BznO9dsqnXokivGvY_sk-5nIH3NIiJB1JKQeyzkxExz4&s
130,130,130,Western,Maharashtra,Kolhapur,Mahalakshmi Temple,Temple,700,1.0,4.8,0,Yes,,Religious,No,0.9,All,"Home to Mumbai, the financial capital, and historical sites.",74.2405329,16.7028412,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFyNMpDpCl5DwCg66n47IH0Ixjf1tqUvrCW1j-3Q-6nQJxVRjAmvrOClYT7w&s
131,131,131,Western,Maharashtra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",73.4016729,18.7548563,12.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpM6RiT8NaBtT-qwpJcxAmhFz-bITp329BMLOQqWQGB_nuKvp6yPHjG8qHew&s
132,132,132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2.0,4.6,0,No,,Recreational,Yes,0.065,Evening,"Home to Mumbai, the financial capital, and historical sites.",73.4918404,16.006814,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnRKK5ab_w98AENY_yZ8TyLu39U4YnufmCD5DWfawvfRBQRxXqiKzCrm-Z7qQ&s
133,133,133,Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2.0,4.4,300,No,,Nature,Yes,0.05,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",74.29827808,17.63612885,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-tvCx9-eYq2SfyXZ0GDZ0jtWWag85rS8CiZF_CoxlL3zH5F_x1VZ770aMFcw&s
