,Unnamed: 0.1,Unnamed: 0,Sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters,img,Season,Season Code
74,74,74,74,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,,Historical,Yes,0.05,All,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.6492267,23.2232877,4.0,https://tse1.mm.bing.net/th?id=OIP.8tLF8g4XNWZkK9w6atu85wHaE8&pid=Api&P=0&w=300&h=300,All Year,A
75,75,75,75,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1.0,4.6,0,Yes,,Recreational,Yes,0.1,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.5800568,23.0215374,4.0,https://tse2.mm.bing.net/th?id=OIP.2yB7olbBeiK6LV0DA4kTkAHaDX&pid=Api&P=0&w=300&h=300,All Year,A
76,76,76,76,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2.0,4.4,0,Yes,,Food,Yes,0.49,Night,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.5800568,23.0215374,4.0,https://tse3.mm.bing.net/th?id=OIP.7fVg8DnwXLQEB0NPunzNOQHaE8&pid=Api&P=0&w=300&h=300,All Year,A
77,77,77,77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3.0,4.5,10,Yes,,Recreational,Yes,0.3,Afternoon,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.5800568,23.0215374,4.0,https://tse1.mm.bing.net/th?id=OIP.5OALTJau1-5AznA_uu--7QHaE-&pid=Api&P=0&w=300&h=300,All Year,A
78,78,78,78,Western,Gujarat,Ahmedabad,Science City,Science,2002,7.0,4.4,500,Yes,Monday,Educational,Yes,0.11,All,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.5800568,23.0215374,4.0,https://tse3.mm.bing.net/th?id=OIP.eJQzSR5SXyW8UOxOXx8OvAHaE8&pid=Api&P=0&w=300&h=300,All Year,A
79,79,79,79,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1.0,4.4,50,Yes,,Architectural,Yes,1.3,Morning,"Desert state famous for its palaces, forts, and rich culture.",75.8189817,26.9154576,1.0,https://tse3.mm.bing.net/th?id=OIP.NuKqMAgJyIh1hVBTVcRLHQHaGY&pid=Api&P=0&w=300&h=300,Winter,W
80,80,80,80,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2.0,4.4,300,Yes,,Historical,Yes,0.51,All,"Desert state famous for its palaces, forts, and rich culture.",73.6862571,24.578721,11.0,https://tse1.mm.bing.net/th?id=OIP.EMi7uSkMCHMngMZmUMmaBAHaE8&pid=Api&P=0&w=300&h=300,Winter,W
81,81,81,81,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,,Historical,Yes,0.56,All,"Desert state famous for its palaces, forts, and rich culture.",70.77751198,27.0264162,1.0,https://tse1.mm.bing.net/th?id=OIP.glQrbShgjeSCMHzl5-Jf6gHaFj&pid=Api&P=0&w=300&h=300,Winter,W
82,82,82,82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3.0,4.6,500,No,,Wildlife,Yes,0.09,All,"Desert state famous for its palaces, forts, and rich culture.",76.42406373,26.1137182,17.0,https://tse4.mm.bing.net/th?id=OIP.ESqIg8P89uGNlEgqHAS--AHaFj&pid=Api&P=0&w=300&h=300,All Year,A
83,83,83,83,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,,Religious,Yes,1.6,All,"Desert state famous for its palaces, forts, and rich culture.",74.5578484,26.4876472,17.0,https://tse2.mm.bing.net/th?id=OIP.Vbx-wUCcsAlTRUFe2WR9jQHaF0&pid=Api&P=0&w=300&h=300,Winter,W
84,84,84,84,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1.0,4.6,0,Yes,,Religious,No,0.35,All,"Desert state famous for its palaces, forts, and rich culture.",74.639,26.4691,17.0,https://tse4.mm.bing.net/th?id=OIP.IpKv72gbyL3npvzjb3UEXgHaEy&pid=Api&P=0&w=300&h=300,Winter,W
85,85,85,85,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2.0,4.6,100,Yes,,Historical,Yes,0.64,All,"Desert state famous for its palaces, forts, and rich culture.",73.0351433,26.2967719,17.0,https://tse1.mm.bing.net/th?id=OIP.6ordJngWl_IGm3xtD4IukgHaE8&pid=Api&P=0&w=300&h=300,Winter,W
86,86,86,86,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2.0,4.6,40,No,,Historical,Yes,1.9,All,"Desert state famous for its palaces, forts, and rich culture.",74.47181294,24.7171578,11.0,https://tse4.mm.bing.net/th?id=OIP.Wx3Z_dXlRmHzG8BiJRDafQHaEe&pid=Api&P=0&w=300&h=300,All Year,A
87,87,87,87,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1.0,4.6,0,No,,Religious,No,0.05,All,"Desert state famous for its palaces, forts, and rich culture.",72.7081876,24.592433,11.0,https://tse4.mm.bing.net/th?id=OIP.wQGZlTg5OsFPlWHXNQVwugHaFj&pid=Api&P=0&w=300&h=300,All Year,A
88,88,88,88,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2.0,4.5,50,Yes,,Historical,Yes,0.32,All,"Desert state famous for its palaces, forts, and rich culture.",73.3171367,28.0159286,3.0,https://tse4.mm.bing.net/th?id=OIP.J-pgScgrPjFuKvhjwsEXsAHaE-&pid=Api&P=0&w=300&h=300,All Year,A
89,89,89,89,Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2.0,4.6,100,Yes,,Historical,Yes,1.5,All,"Desert state famous for its palaces, forts, and rich culture.",75.8189817,26.9154576,1.0,https://tse1.mm.bing.net/th?id=OIP._lWDu5A8qK_yplcZcYwfVAHaE8&pid=Api&P=0&w=300&h=300,Winter,W
90,90,90,90,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,,Historical,Yes,0.3,All,"Desert state famous for its palaces, forts, and rich culture.",75.8189817,26.9154576,1.0,https://tse4.mm.bing.net/th?id=OIP.VK_7Lgr6Fy67O6UG_p17PAHaFk&pid=Api&P=0&w=300&h=300,Winter,W
91,91,91,91,Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1.0,4.6,0,Yes,,Nature,Yes,0.5,All,"Desert state famous for its palaces, forts, and rich culture.",73.6862571,24.578721,11.0,https://tse3.mm.bing.net/th?id=OIP.RU-A0MVVHx5UO7XxXaVCmwHaE8&pid=Api&P=0&w=300&h=300,Winter,W
92,92,92,92,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,,Spiritual,Yes,1.9,All,"Land of five rivers, known for its cuisine and festivals.",74.8736788,31.6343083,23.0,https://tse4.mm.bing.net/th?id=OIP.pjG7GHAiUMHY-E5uLl-LngHaFj&pid=Api&P=0&w=300&h=300,Winter,W
93,93,93,93,Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1.0,4.8,0,Yes,,Historical,Yes,0.3,Afternoon,"Land of five rivers, known for its cuisine and festivals.",74.8736788,31.6343083,23.0,https://tse4.mm.bing.net/th?id=OIP.b6RoObCU6mcFQhkgLxXo_AHaJ4&pid=Api&P=0&w=300&h=300,Winter,W
94,94,94,94,Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2.0,4.8,0,Yes,,Cultural,Yes,0.17,Evening,"Land of five rivers, known for its cuisine and festivals.",74.8736788,31.6343083,23.0,https://tse1.mm.bing.net/th?id=OIP.9yh-K7xwJnKsr22TBXY68gHaE8&pid=Api&P=0&w=300&h=300,Winter,W
95,95,95,95,Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2.0,4.5,30,Yes,,Artistic,Yes,0.5,All,"Land of five rivers, known for its cuisine and festivals.",76.7797143,30.7334421,9.0,https://tse2.mm.bing.net/th?id=OIP.bhx3HGAsAXHCi_6B_YwqCAHaFX&pid=Api&P=0&w=300&h=300,Winter,W
96,96,96,96,Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.11,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.41241429,9.5006651,5.0,https://tse3.mm.bing.net/th?id=OIP.0Fu52AzxHaFJ1-2pefW3EwHaEK&pid=Api&P=0&w=300&h=300,All Year,A
97,97,97,97,Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2.0,4.3,0,No,,Nature,Yes,0.3,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",77.0600915,10.0869959,5.0,https://tse4.mm.bing.net/th?id=OIP.kiIOjpW81FNARQrXzU6dzgHaFj&pid=Api&P=0&w=300&h=300,Summer,S
98,98,98,98,Southern,Kerala,Kochi,Fort Kochi,Site,1503,1.0,4.4,0,Yes,,Historical,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.2454436,9.9674277,5.0,https://tse3.mm.bing.net/th?id=OIP.0Lj41Ih_aLsd-XHZchsy_AHaD2&pid=Api&P=0&w=300&h=300,Monsoon,M
99,99,99,99,Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.46,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.947551,8.4882267,13.0,https://tse4.mm.bing.net/th?id=OIP.-o58oxTV9a8hLOaOYmI0UAHaFj&pid=Api&P=0&w=300&h=300,All Year,A
100,100,100,100,Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,0,Yes,,Recreational,Yes,0.059,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",75.7754716,11.2450558,14.0,https://tse4.mm.bing.net/th?id=OIP.0MEQpvXW6qDJ7HLUpE-i8gHaHa&pid=Api&P=0&w=300&h=300,All Year,A
101,101,101,101,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3.0,4.5,300,No,,Wildlife,Yes,2.2,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.12711851,11.71512915,2.0,https://tse2.mm.bing.net/th?id=OIP.DQnczV5jGRqFDpr2R8kYXQHaEK&pid=Api&P=0&w=300&h=300,Monsoon,M
102,102,102,102,Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3.0,4.3,50,No,,Wildlife,Yes,0.14,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",77.181142,9.5804995,5.0,https://tse2.mm.bing.net/th?id=OIP.JYJyEHq7LOtnNvitt1CLKwHaFc&pid=Api&P=0&w=300&h=300,Monsoon,M
103,103,103,103,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2.0,3.8,50,Yes,,Wildlife,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.4302599,9.5949953,5.0,https://tse2.mm.bing.net/th?id=OIP.nlKpSzyYATAQzuAbkGliBAHaDw&pid=Api&P=0&w=300&h=300,Summer,S
104,104,104,104,Southern,Kerala,Varkala,Varkala Beach,Beach,Unknown,2.0,4.6,0,Yes,,Recreational,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.7257086,8.7342288,13.0,https://tse3.mm.bing.net/th?id=OIP._JTJOzFrtlcnEecKpupOZQHaE8&pid=Api&P=0&w=300&h=300,All Year,A
105,105,105,105,Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,No,,Historical,Yes,0.22,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",75.0371916,12.395725,2.0,https://tse4.mm.bing.net/th?id=OIP.e-yuQjhXEK2vnMoNqKdCoQHaEK&pid=Api&P=0&w=300&h=300,All Year,A
106,106,106,106,Southern,Kerala,Kovalam,Kovalam Beach,Beach,Unknown,2.0,4.4,0,Yes,,Recreational,Yes,0.68,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.9785152,8.3902593,13.0,https://tse4.mm.bing.net/th?id=OIP.1-w5ung0affWCVyZuYbIeAHaGN&pid=Api&P=0&w=300&h=300,All Year,A
107,107,107,107,Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1.0,4.4,20,Yes,,Historical,Yes,0.11,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",75.3737973,11.8763836,2.0,https://tse4.mm.bing.net/th?id=OIP.dQyJJlFerOD3_F5JN5xdowHaEK&pid=Api&P=0&w=300&h=300,All Year,A
108,108,108,108,Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,Unknown,1.0,4.5,0,No,,Nature,Yes,0.03,Morning,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.6932494,10.5349244,14.0,https://tse2.mm.bing.net/th?id=OIP.ReRg5jeSTyNPZ64o7dotxQHaEK&pid=Api&P=0&w=300&h=300,All Year,A
109,109,109,109,Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Monday,Cultural,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.2454436,9.9674277,5.0,https://tse2.mm.bing.net/th?id=OIP.zcuaap0jHPJ6_9xosUeAuQAAAA&pid=Api&P=0&w=300&h=300,Monsoon,M
110,110,110,110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,,Entertainment,Yes,0.41,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.2454436,9.9674277,5.0,https://tse4.mm.bing.net/th?id=OIP.IYvdedPyJECL3hU3fvpZXgHaEK&pid=Api&P=0&w=300&h=300,Monsoon,M
111,111,111,111,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2.0,4.6,50,Yes,,Historical,Yes,2.5,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",76.6553609,12.3051828,2.0,https://tse4.mm.bing.net/th?id=OIP.Fwh9541R2YcQ2x8VfvDXOAHaE8&pid=Api&P=0&w=300&h=300,Summer,S
112,112,112,112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3.0,4.7,0,No,,Historical,Yes,0.05,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",76.4610201,15.3358,8.0,https://tse2.mm.bing.net/th?id=OIP.6OwLk_01opJiEfJ1I-OFowHaE7&pid=Api&P=0&w=300&h=300,Monsoon,M
113,113,113,113,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1.0,4.1,0,No,,Nature,Yes,0.03,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.6151183,12.9363343,18.0,https://tse2.mm.bing.net/th?id=OIP.j55KnFq37-gi-aP3mavkwwHaE8&pid=Api&P=0&w=300&h=300,Summer,S
114,114,114,114,Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2.0,4.5,0,No,,Nature,Yes,0.09,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",74.3184418,14.5439629,19.0,https://tse3.mm.bing.net/th?id=OIP.KN-Ez5hC49xB8oUW-7NCdgHaEc&pid=Api&P=0&w=300&h=300,Monsoon,M
115,115,115,115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3.0,4.5,0,No,,Nature,Yes,0.05,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7738743,13.318014,18.0,https://tse3.mm.bing.net/th?id=OIP.ozBFGx7GOWyLYXRg8DxHMwHaE7&pid=Api&P=0&w=300&h=300,Summer,S
116,116,116,116,Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,No,,Religious,No,0.2,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.6807865,15.9203874,8.0,https://tse2.mm.bing.net/th?id=OIP.bet1cd79CdBRSLcrCLi5ogHaE8&pid=Api&P=0&w=300&h=300,All Year,A
117,117,117,117,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,No,,Nature,Yes,0.23,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.23805528,14.05565025,19.0,https://tse2.mm.bing.net/th?id=OIP.xenrAWV41FFwLDHdWlhJTgHaHa&pid=Api&P=0&w=300&h=300,All Year,A
118,118,118,118,Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.1,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",74.8430082,12.8698101,18.0,https://tse3.mm.bing.net/th?id=OIP.6-1UPVxpvhimyiksfUX9DAHaE8&pid=Api&P=0&w=300&h=300,All Year,A
119,119,119,119,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.49,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.11971136,15.3410864,8.0,https://tse4.mm.bing.net/th?id=OIP.LTT2vPTBmmztybEEGebTQgHaE8&pid=Api&P=0&w=300&h=300,All Year,A
120,120,120,120,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,No,,Historical,Yes,0.25,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7175387,16.8269911,0.0,https://tse3.mm.bing.net/th?id=OIP.X86g6GIBUfDwIwQwcD9RqwHaFj&pid=Api&P=0&w=300&h=300,All Year,A
121,121,121,121,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3.0,4.4,300,No,,Wildlife,Yes,0.15,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.47741148,24.22548715,11.0,https://tse4.mm.bing.net/th?id=OIP.hHZyLdevvWagzeNfty3ILwHaFj&pid=Api&P=0&w=300&h=300,All Year,A
122,122,122,122,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1.0,4.7,15,No,,Religious,No,0.11,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",76.4607075,12.359893,2.0,https://tse1.mm.bing.net/th?id=OIP.05Pe2envUsuulMVHXyErhQHaE5&pid=Api&P=0&w=300&h=300,All Year,A
123,123,123,123,Western,Maharashtra,Pune,Shaniwar Wada,Fort,1732,2.0,4.4,50,Yes,,Historical,Yes,1.2,All,"Home to Mumbai, the financial capital, and historical sites.",73.8545071,18.5213738,12.0,https://tse1.mm.bing.net/th?id=OIP.I1pi0NdlDGxVRXeIiBJm1gHaE8&pid=Api&P=0&w=300&h=300,Monsoon,M
124,124,124,124,Western,Maharashtra,Aurangabad,Ajanta Caves,Cave,200,3.0,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",84.5,24.75,11.0,https://tse2.mm.bing.net/th?id=OIP.Q-9oBx5Q1iVFIaT1efqdEwHaE8&pid=Api&P=0&w=300&h=300,All Year,A
125,125,125,125,Western,Maharashtra,Nashik,Sula Vineyards,Vineyard,1999,2.0,4.1,300,Yes,,Recreational,Yes,0.1,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",73.7902364,20.0112475,22.0,https://tse3.mm.bing.net/th?id=OIP.jShGFeiJbSIvppXw3xjAvAHaEv&pid=Api&P=0&w=300&h=300,Monsoon,M
126,126,126,126,Western,Maharashtra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,,Religious,No,0.69,All,"Home to Mumbai, the financial capital, and historical sites.",74.4754386,19.7668121,22.0,https://tse1.mm.bing.net/th?id=OIP.6ZR6BOpjmLegnPuJBfqz8wHaFj&pid=Api&P=0&w=300&h=300,All Year,A
127,127,127,127,Western,Maharashtra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,,Recreational,Yes,0.05,Evening,"Home to Mumbai, the financial capital, and historical sites.",72.8787677,18.6627281,12.0,https://tse4.mm.bing.net/th?id=OIP.SqrP2K9G9UfdU6ecai1bbQHaFj&pid=Api&P=0&w=300&h=300,Monsoon,M
128,128,128,128,Western,Maharashtra,Ratnagiri,Ganapatipule Temple,Temple,1600,1.0,4.7,0,No,,Religious,No,0.1,All,"Home to Mumbai, the financial capital, and historical sites.",73.4569787,17.2826079,0.0,https://tse1.mm.bing.net/th?id=OIP.x9fMW_o61U7NT2A8mwmYQgHaFj&pid=Api&P=0&w=300&h=300,Monsoon,M
129,129,129,129,Western,Maharashtra,Nagpur,Deekshabhoomi,Monument,2001,1.0,4.5,0,Yes,,Religious,Yes,0.11,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",79.0820556,21.1498134,21.0,https://tse2.mm.bing.net/th?id=OIP.FKfBg9eSZ29WvrGhLXR0cAHaEA&pid=Api&P=0&w=300&h=300,All Year,A
130,130,130,130,Western,Maharashtra,Kolhapur,Mahalakshmi Temple,Temple,700,1.0,4.8,0,Yes,,Religious,No,0.9,All,"Home to Mumbai, the financial capital, and historical sites.",74.2405329,16.7028412,0.0,https://tse2.mm.bing.net/th?id=OIP.S8l1nmX2mO54FojMm-8-3gHaFM&pid=Api&P=0&w=300&h=300,All Year,A
131,131,131,131,Western,Maharashtra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",73.4016729,18.7548563,12.0,https://tse3.mm.bing.net/th?id=OIP.SZy08hiwJypJoXjLSN2IbAHaE5&pid=Api&P=0&w=300&h=300,Monsoon,M
132,132,132,132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2.0,4.6,0,No,,Recreational,Yes,0.065,Evening,"Home to Mumbai, the financial capital, and historical sites.",73.4918404,16.006814,8.0,https://tse2.mm.bing.net/th?id=OIP.AqnWYJcMjpuHaGvkLqBrXwHaE5&pid=Api&P=0&w=300&h=300,Monsoon,M
133,133,133,133,Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2.0,4.4,300,No,,Nature,Yes,0.05,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",74.29827808,17.63612885,0.0,https://tse2.mm.bing.net/th?id=OIP.69nO0bsMcoSmbu3smBkQnAHaEP&pid=Api&P=0&w=300&h=300,All Year,A
134,134,134,134,Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,,Nature,Yes,0.02,Morning,"Home to Mumbai, the financial capital, and historical sites.",73.2700191,18.9901544,12.0,https://tse1.mm.bing.net/th?id=OIP.mHkhywpqrX1aPLfkTYhs9gHaD1&pid=Api&P=0&w=300&h=300,All Year,A
135,135,135,135,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3.0,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",75.7513692,20.532524,7.0,https://tse2.mm.bing.net/th?id=OIP.Q-9oBx5Q1iVFIaT1efqdEwHaE8&pid=Api&P=0&w=300&h=300,All Year,A
136,136,136,136,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2.0,4.7,40,No,,Cultural,Yes,0.09,Afternoon,"Heart of India with temples, forts, and wildlife parks.",79.9259786,24.8515132,11.0,https://tse2.mm.bing.net/th?id=OIP.Hs2CgW5pl9reCC7SmsO32wHaFR&pid=Api&P=0&w=300&h=300,All Year,A
137,137,137,137,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,,Historical,Yes,0.01,Afternoon,"Heart of India with temples, forts, and wildlife parks.",77.401989,23.2584857,4.0,https://tse4.mm.bing.net/th?id=OIP.Y7PIpek6srVH0fxKYeUbmQHaE7&pid=Api&P=0&w=300&h=300,Winter,W
138,138,138,138,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1.0,4.4,10,Yes,,Historical,Yes,0.63,Afternoon,"Heart of India with temples, forts, and wildlife parks.",75.8681996,22.7203616,15.0,https://tse2.mm.bing.net/th?id=OIP.3ujYIdNW3BUtc8ZqFpHvBAHaEc&pid=Api&P=0&w=300&h=300,All Year,A
139,139,139,139,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,Yes,,Historical,Yes,0.4,Morning,"Heart of India with temples, forts, and wildlife parks.",78.1573628,26.2037247,17.0,https://tse1.mm.bing.net/th?id=OIP.6GhRie9mfMS7yh1yw7Lg5AHaGd&pid=Api&P=0&w=300&h=300,All Year,A
140,140,140,140,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,,Religious,No,1.2,All,"Heart of India with temples, forts, and wildlife parks.",75.7716562,23.1885131,4.0,https://tse3.mm.bing.net/th?id=OIP.78uwuMQ00JOZafaNPdHE0AHaJ4&pid=Api&P=0&w=300&h=300,All Year,A
141,141,141,141,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1.0,4.5,0,No,,Nature,Yes,0.01,Morning,"Heart of India with temples, forts, and wildlife parks.",79.9497702,23.1608938,4.0,https://tse3.mm.bing.net/th?id=OIP.w7hQrDXLgOS--KQAdTVWGwHaEN&pid=Api&P=0&w=300&h=300,All Year,A
142,142,142,142,Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Unknown,1.5,4.6,15,No,,Nature,Yes,0.065,Morning,"Heart of India with temples, forts, and wildlife parks.",78.4360537,22.4736824,15.0,https://tse4.mm.bing.net/th?id=OIP.gjKJ1HkJSjShzFKpRXErtQHaFS&pid=Api&P=0&w=300&h=300,All Year,A
143,143,143,143,Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3.0,4.5,100,No,,Wildlife,Yes,0.1,Morning,"Heart of India with temples, forts, and wildlife parks.",77.6810002,19.8628957,22.0,https://tse1.mm.bing.net/th?id=OIP._q2_QZBgqIcATJCMomXZdAHaE8&pid=Api&P=0&w=300&h=300,All Year,A
144,144,144,144,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3.0,4.5,50,No,,Wildlife,Yes,0.05,Morning,"Heart of India with temples, forts, and wildlife parks.",81.02450229,23.6444125,24.0,https://tse3.mm.bing.net/th?id=OIP.k7lcUuRZ2vPOyU1mPb6aigHaEM&pid=Api&P=0&w=300&h=300,All Year,A
145,145,145,145,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,No,,Historical,Yes,0.1,Afternoon,"Heart of India with temples, forts, and wildlife parks.",78.6402465,25.3528706,16.0,https://tse3.mm.bing.net/th?id=OIP.ZzljIhIs-zXst_E1HzhZtAHaE7&pid=Api&P=0&w=300&h=300,All Year,A
146,146,146,146,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1.0,3.9,50,No,,Historical,Yes,0.03,Afternoon,"Heart of India with temples, forts, and wildlife parks.",85.52633246,23.7978518,24.0,https://tse4.mm.bing.net/th?id=OIP.cZjXiB0x2vAs-DeAz-K0CgHaFc&pid=Api&P=0&w=300&h=300,All Year,A
147,147,147,147,Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2.0,4.6,25,No,,Archaeological,Yes,0.07,Afternoon,"Heart of India with temples, forts, and wildlife parks.",77.6133286,22.9384007,4.0,https://tse4.mm.bing.net/th?id=OIP.JMB0KNlFANpbLqaxKn1V7wHaE8&pid=Api&P=0&w=300&h=300,All Year,A
