,Sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters,img
126,126,Western,Maharashtra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,,Religious,No,0.69,All,"Home to Mumbai, the financial capital, and historical sites.",74.4754386,19.7668121,22,
127,127,Western,Maharashtra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,,Recreational,Yes,0.05,Evening,"Home to Mumbai, the financial capital, and historical sites.",72.8787677,18.6627281,12,
128,128,Western,Maharashtra,Ratnagiri,Ganapatipule Temple,Temple,1600,1,4.7,0,No,,Religious,No,0.1,All,"Home to Mumbai, the financial capital, and historical sites.",73.4569787,17.2826079,0,
129,129,Western,Maharashtra,Nagpur,Deekshabhoomi,Monument,2001,1,4.5,0,Yes,,Religious,Yes,0.11,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",79.0820556,21.1498134,21,
130,130,Western,Maharashtra,Kolhapur,Mahalakshmi Temple,Temple,700,1,4.8,0,Yes,,Religious,No,0.9,All,"Home to Mumbai, the financial capital, and historical sites.",74.2405329,16.7028412,0,
131,131,Western,Maharashtra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",73.4016729,18.7548563,12,
132,132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2,4.6,0,No,,Recreational,Yes,0.065,Evening,"Home to Mumbai, the financial capital, and historical sites.",73.4918404,16.006814,8,
133,133,Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2,4.4,300,No,,Nature,Yes,0.05,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",74.29827808,17.63612885,0,
134,134,Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,,Nature,Yes,0.02,Morning,"Home to Mumbai, the financial capital, and historical sites.",73.2700191,18.9901544,12,
135,135,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",75.7513692,20.532524,7,
136,136,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2,4.7,40,No,,Cultural,Yes,0.09,Afternoon,"Heart of India with temples, forts, and wildlife parks.",79.9259786,24.8515132,11,
137,137,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,,Historical,Yes,0.01,Afternoon,"Heart of India with temples, forts, and wildlife parks.",77.401989,23.2584857,4,
138,138,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1,4.4,10,Yes,,Historical,Yes,0.63,Afternoon,"Heart of India with temples, forts, and wildlife parks.",75.8681996,22.7203616,15,
139,139,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,Yes,,Historical,Yes,0.4,Morning,"Heart of India with temples, forts, and wildlife parks.",78.1573628,26.2037247,17,
140,140,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,,Religious,No,1.2,All,"Heart of India with temples, forts, and wildlife parks.",75.7716562,23.1885131,4,
141,141,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1,4.5,0,No,,Nature,Yes,0.01,Morning,"Heart of India with temples, forts, and wildlife parks.",79.9497702,23.1608938,4,
142,142,Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Unknown,1.5,4.6,15,No,,Nature,Yes,0.065,Morning,"Heart of India with temples, forts, and wildlife parks.",78.4360537,22.4736824,15,
143,143,Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3,4.5,100,No,,Wildlife,Yes,0.1,Morning,"Heart of India with temples, forts, and wildlife parks.",77.6810002,19.8628957,22,
144,144,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3,4.5,50,No,,Wildlife,Yes,0.05,Morning,"Heart of India with temples, forts, and wildlife parks.",81.02450229,23.6444125,24,
145,145,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,No,,Historical,Yes,0.1,Afternoon,"Heart of India with temples, forts, and wildlife parks.",78.6402465,25.3528706,16,
146,146,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1,3.9,50,No,,Historical,Yes,0.03,Afternoon,"Heart of India with temples, forts, and wildlife parks.",85.52633246,23.7978518,24,
147,147,Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2,4.6,25,No,,Archaeological,Yes,0.07,Afternoon,"Heart of India with temples, forts, and wildlife parks.",77.6133286,22.9384007,4,
148,148,Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1,4.4,0,No,,Religious,Yes,0.01,All,"Heart of India with temples, forts, and wildlife parks.",81.7588417,22.670465,15,
149,149,Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Unknown,1.5,4.4,0,No,,Nature,Yes,0.1,Morning,"Heart of India with temples, forts, and wildlife parks.",81.10459272,25.21713895,16,
150,150,Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,1,4.7,0,Yes,,Recreational,Yes,0.03,Morning,Famous for its hill stations like Shimla and Manali.,77.1709729,31.1041526,9,
151,151,Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2,4.1,0,No,,Adventure,Yes,0.05,Morning,Famous for its hill stations like Shimla and Manali.,77.18812183,32.26309405,10,
152,152,Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,0,Yes,,Religious,No,0.15,All,Famous for its hill stations like Shimla and Manali.,75.94484089,32.54357545,10,
153,153,Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,Unknown,1.5,4.5,0,No,,Nature,Yes,0.1,Morning,Famous for its hill stations like Shimla and Manali.,75.94484089,32.54357545,10,
154,154,Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1,4.8,0,No,,Religious,Yes,0.025,Morning,Famous for its hill stations like Shimla and Manali.,,,10.0462963,
155,155,Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3,4.5,50,No,,Wildlife,Yes,0.2,All,Famous for its hill stations like Shimla and Manali.,77.3789964,32.00186325,10,
156,156,Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Unknown,2,4.4,0,No,,Recreational,Yes,0.01,Morning,Famous for its hill stations like Shimla and Manali.,76.5,32.5,10,
157,157,Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,Unknown,2,4.5,0,No,,Nature,Yes,0.01,Morning,Famous for its hill stations like Shimla and Manali.,78.32814169,31.59301295,23,
158,158,Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2,4.4,150,Yes,,Historical,Yes,0.1,All,Famous for its hill stations like Shimla and Manali.,76.29858721,32.0768665,10,
159,159,Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,4.6,0,Yes,,Agricultural,Yes,0.015,Morning,Famous for its hill stations like Shimla and Manali.,76.5098927,32.0893012,10,
160,160,Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,4.6,0,No,,Nature,Yes,0.01,Morning,Famous for its hill stations like Shimla and Manali.,77.00925419,31.65166165,23,
161,161,Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2,4.8,2500,No,,Adventure,Yes,0.01,All,Famous for its hill stations like Shimla and Manali.,76.745494,32.0616757,10,
162,162,Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,Unknown,5,4.8,0,Yes,,Adventure,Yes,0.01,Morning,Famous for its hill stations like Shimla and Manali.,76.326238,32.2352666,10,
163,163,Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1980,1,4.6,0,No,,Religious,Yes,1.3,Morning,Famous for its hill stations like Shimla and Manali.,77.3464072,32.0273214,10,
164,164,Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,Unknown,2,4.5,0,Yes,,Nature,Yes,1.1,All,Famous for its hill stations like Shimla and Manali.,77.4612694,31.2547508,23,
165,165,Northern,Himachal Pradesh,Barot,Barot Valley,Valley,Unknown,2,4.7,0,No,,Nature,Yes,1.2,Morning,Famous for its hill stations like Shimla and Manali.,76.8452055,32.0377277,10,
166,166,Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,Unknown,2.5,4.4,0,No,,Nature,Yes,0.9,Morning,Famous for its hill stations like Shimla and Manali.,77.3712415,31.5644846,23,
167,167,Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5,3.8,1500,Yes,,Recreational,Yes,0.1,All,Famous for its hill stations like Shimla and Manali.,77.027818,31.1885191,23,
168,168,Northern,Uttarakhand,Nainital,Naini Lake,Lake,Unknown,1.5,4.2,0,Yes,,Nature,Yes,0.01,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.41625113,29.29499495,3,
169,169,Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1939,1,4.4,0,Yes,,Cultural,Yes,0.03,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,78.2916193,30.1086537,9,
170,170,Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,Unknown,1,4.5,0,Yes,,Religious,Yes,0.025,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,78.00871782,29.91235135,9,
171,171,Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,Unknown,1.5,4.5,25,Yes,,Nature,Yes,0.01,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,77.86254574,30.49981565,9,
172,172,Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,Unknown,1.5,4.2,15,Yes,,Nature,Yes,0.55,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,78.0782906,30.4569012,9,
173,173,Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,1990,3,4.5,0,No,,Adventure,Yes,0.01,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.5657242,30.5377872,9,
174,174,Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,-820,1,4.8,0,No,,Religious,No,0.29,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.4930256,30.7423302,9,
175,175,Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,1988,2,4.3,150,No,,Wildlife,Yes,0.01,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.43263182,29.70265095,9,
176,176,Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1868,1,4,50,No,,Recreational,Yes,0.025,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.41541417,29.6323007,9,
177,177,Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,1936,3,4.4,100,Yes,,Wildlife,Yes,0.3,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,78.84249503,29.5574752,9,
178,178,Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1751,1,4.8,0,No,,Religious,No,0.05,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,78.63625207,30.9635733,9,
179,179,Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,751,2,4.8,0,No,,Religious,No,0.09,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.078238,29.9494314,9,
180,180,Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,1982,5,4.7,150,No,,Nature,Yes,0.035,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.5612607,30.5555752,9,
181,181,Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,1632,2,4.6,50,Yes,Friday,Historical,Yes,2.25,Morning,Home to the Taj Mahal and sacred cities like Varanasi.,78.0098161,27.1752554,1,
182,182,Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,Unknown,1,4.7,0,Yes,,Religious,No,0.9,All,Home to the Taj Mahal and sacred cities like Varanasi.,82.94142724,25.37193385,16,
183,183,Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1784,1.5,4.4,50,Yes,Monday,Historical,No,0.45,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.9346001,26.8381,1,
184,184,Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,Unknown,1,4.7,0,Yes,,Religious,No,0.13,All,Home to the Taj Mahal and sacred cities like Varanasi.,77.583333,27.633333,20,
185,185,Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,Unknown,1,4.8,0,Yes,,Religious,No,0.025,All,Home to the Taj Mahal and sacred cities like Varanasi.,82.05850341,26.6382763,17,
186,186,Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1864,1,4.8,0,Yes,,Religious,No,0.37,All,Home to the Taj Mahal and sacred cities like Varanasi.,77.6938045,27.5753726,20,
187,187,Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,Unknown,1,4.5,0,Yes,,Religious,Yes,0.09,Morning,Home to the Taj Mahal and sacred cities like Varanasi.,81.90349775,25.2793187,16,
188,188,Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1613,1.5,4.4,15,Yes,,Historical,Yes,0.25,All,Home to the Taj Mahal and sacred cities like Varanasi.,78.65278024,25.529855,16,
189,189,Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,-500,1,4.6,5,Yes,,Historical,Yes,0.065,All,Home to the Taj Mahal and sacred cities like Varanasi.,83.0275999,25.3776274,16,
190,190,Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,1571,2,4.4,40,Yes,,Historical,Yes,0.07,Afternoon,Home to the Taj Mahal and sacred cities like Varanasi.,77.6623984,27.0911655,1,
191,191,Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,1.5,4.3,30,Yes,,Wildlife,Yes,0.035,All,Home to the Taj Mahal and sacred cities like Varanasi.,77.3272147,28.5706333,3,
192,192,Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1524,1,4.1,20,Yes,,Historical,Yes,0.0165,Afternoon,Home to the Taj Mahal and sacred cities like Varanasi.,78.13581531,27.8761073,3,
193,193,Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,Unknown,1,4.8,0,Yes,,Religious,No,0.045,All,Home to the Taj Mahal and sacred cities like Varanasi.,77.76796715,29.0018557,3,
194,194,Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2,4.2,150,Yes,Monday,Wildlife,Yes,0.21,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.3217588,26.4609135,17,
195,195,Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,Unknown,2,4.6,0,Yes,,Nature,Yes,0.15,Morning,"Renowned for its beautiful valleys, lakes, and houseboats.",74.8204443,34.0747444,6,
196,196,Northern,Ladakh,Leh,Pangong Tso,Lake,Unknown,2,4.9,20,Yes,,Nature,Yes,0.15,Morning,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.5848133,34.1642029,6,
197,197,Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,Unknown,2,4.6,100,No,,Nature,Yes,0.11,All,"Renowned for its beautiful valleys, lakes, and houseboats.",75.3226479,34.0322048,6,
198,198,Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,Unknown,5,4.7,0,Yes,,Religious,No,0.55,All,"Renowned for its beautiful valleys, lakes, and houseboats.",74.8580917,32.7185614,10,
199,199,Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,Unknown,2,4.1,0,No,,Recreational,Yes,0.01,All,"Renowned for its beautiful valleys, lakes, and houseboats.",75.32658449,32.911964,10,
200,200,Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,Unknown,6,4.5,0,No,,Religious,Yes,0.11,All,"Renowned for its beautiful valleys, lakes, and houseboats.",75.1455138,33.7368773,6,
201,201,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,20,Yes,,Religious,No,0.05,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.5848133,34.1642029,6,
202,202,Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,Unknown,2,4.5,0,No,,Nature,Yes,0.1,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.8233593,33.9940885,6,
203,203,Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,24,1,4.8,0,No,,Historical,Yes,0.011,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",76.47300957,33.802819,6,
204,204,Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1351,1,4.7,20,No,,Religious,No,0.015,Morning,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.5506547,34.5512277,6,
205,205,Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3,4.3,100,No,,Wildlife,Yes,0.01,All,"Renowned for its beautiful valleys, lakes, and houseboats.",75.81692388,33.2761171,6,
206,206,Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4,4.4,20,No,,Wildlife,Yes,0.02,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.6341507,33.9083119,6,
207,207,Northern,Ladakh,Dras,Dras War Memorial,War Memorial,Unknown,1,4.8,0,No,,Historical,Yes,0.012,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",75.750761,34.4292702,6,
208,208,Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,Unknown,0.5,3.7,0,Yes,,Nature,Yes,0.1,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.5848133,34.1642029,6,
209,209,Northern,Ladakh,Leh,Khardung La Pass,Hill,Unknown,1,4.5,0,Yes,,Adventure,Yes,0.05,Afternoon,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.5848133,34.1642029,6,
210,210,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,30,Yes,,Religious,No,0.05,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.5848133,34.1642029,6,
211,211,Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,4.8,0,Yes,,Religious,Yes,0.49,Evening,Home to the Taj Mahal and sacred cities like Varanasi.,77.6938045,27.5753726,20,
212,212,Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1950,1,4.8,0,Yes,,Historical,Yes,0.03,Morning,Home to the Taj Mahal and sacred cities like Varanasi.,69.85380669,21.60297505,21,
213,213,Central,Uttar Pradesh,Mathura,Nand Gaon,Village,Unknown,1,4.1,0,Yes,,Cultural,Yes,0.01,Morning,Home to the Taj Mahal and sacred cities like Varanasi.,77.583333,27.633333,20,
214,214,Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,Unknown,1,4.8,0,Yes,,Religious,Yes,0.1,Morning,Home to the Taj Mahal and sacred cities like Varanasi.,77.583333,27.633333,20,
215,215,Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,Unknown,1,4.5,0,No,,Nature,Yes,0.025,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.263176,27.0377554,1,
216,216,Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3,4.4,250,Yes,,Wildlife,Yes,0.035,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.4309916,26.7164127,1,
217,217,Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4,4.4,60,No,,Wildlife,Yes,0.065,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.68731611,22.03158805,21,
218,218,Eastern,West Bengal,Digha,Digha Beach,Beach,Unknown,1.5,4.5,0,No,,Recreational,Yes,0.09,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.5082534,21.623077,21,
219,219,Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,4.5,10,Yes,Friday,Historical,Yes,0.18,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.36638821,24.2905278,11,
220,220,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Unknown,0.5,4.7,0,Yes,,Religious,No,0.045,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6962424,23.661154,24,
221,221,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,Yes,,Architectural,No,0.07,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.01208247,22.90994025,4,
222,222,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3,4.4,100,Yes,,Wildlife,Yes,0.07,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.73344852,26.62628045,17,
223,223,Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1,4.5,20,Yes,Friday,Historical,Yes,0.09,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",89.42011428,26.2559197,17,
224,224,Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,Unknown,2.5,4.5,0,No,,Nature,Yes,0.15,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",86.32289877,23.2020967,4,
225,225,Eastern,Odisha,Puri,Jagannath Temple,Temple,12th century,2,4.7,0,Yes,,Religious,No,1,All,"Known for its temples, especially the Sun Temple at Konark.",85.68532946,19.83430655,22,
226,226,Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,Yes,,Historical,Yes,0.83,All,"Known for its temples, especially the Sun Temple at Konark.",86.14201945,19.90742915,22,
227,227,Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,11th century,1,4.6,0,Yes,,Religious,No,0.35,All,"Known for its temples, especially the Sun Temple at Konark.",85.8394521,20.2602964,7,
228,228,Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,Unknown,1.5,4.5,0,No,,Nature,Yes,1.2,All,"Known for its temples, especially the Sun Temple at Konark.",84.85775201,22.2539994,15,
229,229,Eastern,Odisha,Cuttack,Barabati Fort,Fort,-987,1,4.5,0,Yes,,Historical,Yes,0.13,All,"Known for its temples, especially the Sun Temple at Konark.",85.46972564,20.3700655,7,
230,230,Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1,4.5,0,No,,Engineering Marvel,Yes,0.01,All,"Known for its temples, especially the Sun Temple at Konark.",84.15285151,21.5570606,21,
231,231,Eastern,Odisha,Chilika,Chilika Lake,Lake,Unknown,2,3.9,0,Yes,,Nature,Yes,0.1,Morning,"Known for its temples, especially the Sun Temple at Konark.",85.25036969,19.6853207,22,
232,232,Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,Ancient,1,4.6,0,Yes,,Religious,No,0.01,All,"Known for its temples, especially the Sun Temple at Konark.",86.63272983,21.49308515,21,
233,233,Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,Unknown,1,4.3,0,No,,Nature,Yes,0.018,Morning,"Known for its temples, especially the Sun Temple at Konark.",85.5,21.5,21,
234,234,Eastern,Odisha,Balasore,Chandipur Beach,Beach,Unknown,1.5,4.2,0,Yes,,Recreational,Yes,0.014,Morning,"Known for its temples, especially the Sun Temple at Konark.",86.919884,21.5006421,21,
235,235,Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,Unknown,1,4.4,0,No,,Nature,Yes,0.055,All,"Known for its temples, especially the Sun Temple at Konark.",85.66878414,21.5892323,21,
236,236,Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Unknown,1.5,3.9,0,Yes,,Recreational,Yes,0.1,Morning,Famous for its Dravidian temples and cultural heritage.,80.270186,13.0836939,18,
237,237,Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,6th century AD,2,4.7,0,Yes,,Religious,No,0.65,All,Famous for its Dravidian temples and cultural heritage.,78.1140983,9.9261153,5,
238,238,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,12th century,1.5,4.6,0,No,,Religious,No,0.01,All,Famous for its Dravidian temples and cultural heritage.,79.3125553,9.2844657,13,
239,239,Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1,4.6,20,Yes,,Historical,No,0.47,Morning,Famous for its Dravidian temples and cultural heritage.,77.5499338,8.079252,13,
240,240,Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1,4.1,10,Yes,,Recreational,Yes,0.61,Morning,Famous for its Dravidian temples and cultural heritage.,76.7030504,11.4126769,2,
241,241,Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,12th century,1,4.7,0,Yes,,Religious,No,0.3,All,Famous for its Dravidian temples and cultural heritage.,76.9628425,11.0018115,14,
242,242,Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2,3.9,0,No,,Recreational,Yes,0.1,Morning,Famous for its Dravidian temples and cultural heritage.,77.4919719,10.233712,5,
243,243,Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,Yes,,Religious,No,0.35,All,Famous for its Dravidian temples and cultural heritage.,79.20142776,10.65903695,14,
244,244,Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,7th century,1,4.6,40,Yes,,Historical,No,0.09,All,Famous for its Dravidian temples and cultural heritage.,80.1936497,12.6195981,18,
245,245,Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,Unknown,1,4.2,0,No,,Recreational,Yes,0.019,Morning,Famous for its Dravidian temples and cultural heritage.,78.2075392,11.7852074,2,
246,246,Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,7th century,1,4.6,0,Yes,,Religious,No,0.16,All,Famous for its Dravidian temples and cultural heritage.,77.8114843,8.8082342,13,
247,247,Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,10th century,1,4.7,0,Yes,,Religious,No,0.28,All,Famous for its Dravidian temples and cultural heritage.,79.6909383,11.3994826,2,
248,248,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1,4.7,0,Yes,,Religious,No,0.44,All,"Known for its sacred temples, beaches, and spicy cuisine.",80.6185089,16.5087573,8,
249,249,Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.39,Morning,"Known for its sacred temples, beaches, and spicy cuisine.",83.3012842,17.7231276,0,
250,250,Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1,4.7,0,No,,Religious,No,0.49,All,"Known for its sacred temples, beaches, and spicy cuisine.",78.8727065,16.0737808,8,
251,251,Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2,4.3,0,Yes,,Nature,Yes,0.032,All,"Known for its sacred temples, beaches, and spicy cuisine.",81.7804732,17.0050454,0,
252,252,Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,0,No,,Historical,Yes,0.075,All,"Known for its sacred temples, beaches, and spicy cuisine.",77.43067381,14.72421995,19,
253,253,Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,65,Yes,,Natural Wonder,Yes,0.11,Afternoon,"Known for its sacred temples, beaches, and spicy cuisine.",77.55425904,15.54788035,8,
254,254,Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1,4.7,0,Yes,,Religious,No,0.041,All,"Known for its sacred temples, beaches, and spicy cuisine.",77.64429618,21.15454115,21,
